Manufacturer,Model Year,Yearly Sustainability Score
BMW,2012,25.72129568358568
BMW,2013,26.78168755045718
BMW,2014,29.503876666653696
BMW,2015,29.30329924573334
BMW,2016,28.865796249710446
BMW,2017,29.08344180567492
BMW,2018,30.14642266590053
BMW,2019,30.910886756238597
BMW,2020,30.40535466853966
BMW,2021,31.496588005938417
BMW,2022,31.26942246014363
BMW,2023,36.592986151040826
BMW,2024,39.88112681111801
Ford,2012,23.164948742327883
Ford,2013,24.365310012903265
Ford,2014,24.39752957821202
Ford,2015,25.185886714671298
Ford,2016,25.141830119456046
Ford,2017,25.41444346996467
Ford,2018,25.746168073868084
Ford,2019,26.436447360017546
Ford,2020,27.55909645687709
Ford,2021,31.469246160537335
Ford,2022,31.25101883119858
Ford,2023,35.17996714929583
Ford,2024,33.45914187616529
GM,2012,20.686216338321643
GM,2013,21.356038022702933
GM,2014,22.655669323022583
GM,2015,21.97999477667703
GM,2016,21.978464831884896
GM,2017,23.23697717466049
GM,2018,28.195170766469015
GM,2019,27.454684840705198
GM,2020,28.623278632221094
GM,2021,27.618136144127256
GM,2022,28.561624332151453
GM,2023,30.340805391001574
GM,2024,30.629891383377895
Honda,2012,26.39170611040096
Honda,2013,27.166896027048928
Honda,2014,27.794907982792697
Honda,2015,31.229928398986736
Honda,2016,31.226122311347574
Honda,2017,30.810384728045843
Honda,2018,31.676639488446487
Honda,2019,30.970305660644442
Honda,2020,31.20542542678074
Honda,2021,30.81234309224534
Honda,2022,31.206658585055163
Honda,2023,31.888986810355668
Honda,2024,33.30748849541048
Hyundai,2012,28.130245943394062
Hyundai,2013,28.47852561185192
Hyundai,2014,26.97634908597244
Hyundai,2015,27.14865295051644
Hyundai,2016,27.984348713250537
Hyundai,2017,28.387722134831403
Hyundai,2018,28.315006152153547
Hyundai,2019,28.779309967419007
Hyundai,2020,30.419083572096344
Hyundai,2021,31.49256648605166
Hyundai,2022,34.548401967782745
Hyundai,2023,36.60035000433663
Hyundai,2024,39.4543813664419
Kia,2012,26.736012571770864
Kia,2013,28.561560772072546
Kia,2014,25.23116763691787
Kia,2015,25.816529444527646
Kia,2016,26.661663757228997
Kia,2017,28.132647130304118
Kia,2018,28.202855569996025
Kia,2019,29.514739953954802
Kia,2020,29.587232029539962
Kia,2021,30.785742712231038
Kia,2022,32.89539602230952
Kia,2023,34.43537184436345
Kia,2024,38.49123613579486
Mazda,2012,27.408393657043298
Mazda,2013,29.86119304857925
Mazda,2014,30.97873220933554
Mazda,2015,31.147870130195095
Mazda,2016,32.739417982675235
Mazda,2017,32.186317195582475
Mazda,2018,32.58776076326969
Mazda,2019,32.157839927788835
Mazda,2020,32.26845733827055
Mazda,2021,31.99174573671323
Mazda,2022,32.16514391330712
Mazda,2023,32.54381518401
Mazda,2024,32.51791177211244
Mercedes,2012,21.862660301242272
Mercedes,2013,24.44264617056151
Mercedes,2014,25.272064159322053
Mercedes,2015,26.340864956311375
Mercedes,2016,26.077009492392612
Mercedes,2017,26.276365826010352
Mercedes,2018,26.51097608548747
Mercedes,2019,26.553306335096845
Mercedes,2020,27.17782779930411
Mercedes,2021,27.250496513968802
Mercedes,2022,29.27290706929116
Mercedes,2023,40.23103104588639
Mercedes,2024,44.82396950969666
Nissan,2012,22.9503568418329
Nissan,2013,26.314203002314812
Nissan,2014,26.679555233509216
Nissan,2015,28.554996932252653
Nissan,2016,29.133367425268027
Nissan,2017,28.559702418626124
Nissan,2018,28.89397717253175
Nissan,2019,28.761668130048815
Nissan,2020,29.760291014367326
Nissan,2021,30.109322189207333
Nissan,2022,31.25322943029012
Nissan,2023,33.49238237840847
Nissan,2024,33.55005378882111
Stellantis,2012,20.122797103119954
Stellantis,2013,21.0338469813191
Stellantis,2014,22.144257583271354
Stellantis,2015,23.657217217088437
Stellantis,2016,23.318258110286525
Stellantis,2017,23.649902514955222
Stellantis,2018,24.20501565158345
Stellantis,2019,23.895031797673663
Stellantis,2020,24.2380848451857
Stellantis,2021,24.62124518885875
Stellantis,2022,24.861832617424792
Stellantis,2023,25.638027307600638
Stellantis,2024,35.532362612093415
Subaru,2012,28.754148423148962
Subaru,2013,30.178694223468398
Subaru,2014,31.08735033796958
Subaru,2015,31.99172609573371
Subaru,2016,31.973672874866
Subaru,2017,32.56069101885101
Subaru,2018,32.581982773001236
Subaru,2019,32.92850695976817
Subaru,2020,32.76982013350783
Subaru,2021,32.51083397108284
Subaru,2022,32.331243817497764
Subaru,2023,32.79716025765973
Subaru,2024,32.506539766860236
Tesla,2012,59.10893884322505
Tesla,2013,59.333384579590394
Tesla,2014,59.456715030619854
Tesla,2015,62.51258253766218
Tesla,2016,73.98286425238905
Tesla,2017,74.60734116435167
Tesla,2018,96.08136382952347
Tesla,2019,97.83796612496262
Tesla,2020,97.88918637539975
Tesla,2021,98.08178351236076
Tesla,2022,97.14870456763437
Tesla,2023,97.53397563271659
Tesla,2024,96.31746439533056
Toyota,2012,25.357418063011973
Toyota,2013,25.74101756222363
Toyota,2014,25.71046805832699
Toyota,2015,25.857267718649954
Toyota,2016,26.187159539191697
Toyota,2017,27.703774198193337
Toyota,2018,27.92784032640933
Toyota,2019,28.92482144144017
Toyota,2020,29.726636307691056
Toyota,2021,33.169617507340874
Toyota,2022,33.82598496987266
Toyota,2023,34.48970882700945
Toyota,2024,36.59559025320944
VW,2012,28.060137852645074
VW,2013,27.992524315356608
VW,2014,28.172785733356815
VW,2015,28.669804751289615
VW,2016,29.252167873019637
VW,2017,29.018292136491702
VW,2018,28.99677529929886
VW,2019,31.590306837436007
VW,2020,29.313513330462364
VW,2021,35.117379222371866
VW,2022,36.279549009010466
VW,2023,36.99681466089727
VW,2024,37.489573431718256
